manifest_path,strategy,arm,replication,step,changed_file_count,change_spread,traceability_ratio,test_failures,contract_violations,run_ledger_compliance
benchmark/manifests/evolutionary/agent-card/rep01/C1/manifest.json,evolutionary,agent-card,rep01,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C2/manifest.json,evolutionary,agent-card,rep01,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C3/manifest.json,evolutionary,agent-card,rep01,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C4/manifest.json,evolutionary,agent-card,rep01,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C5/manifest.json,evolutionary,agent-card,rep01,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C6/manifest.json,evolutionary,agent-card,rep01,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/agent-card/rep02/C1/manifest.json,evolutionary,agent-card,rep02,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C2/manifest.json,evolutionary,agent-card,rep02,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C3/manifest.json,evolutionary,agent-card,rep02,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C4/manifest.json,evolutionary,agent-card,rep02,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C5/manifest.json,evolutionary,agent-card,rep02,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C6/manifest.json,evolutionary,agent-card,rep02,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/agent-card/rep03/C1/manifest.json,evolutionary,agent-card,rep03,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C2/manifest.json,evolutionary,agent-card,rep03,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C3/manifest.json,evolutionary,agent-card,rep03,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C4/manifest.json,evolutionary,agent-card,rep03,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C5/manifest.json,evolutionary,agent-card,rep03,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C6/manifest.json,evolutionary,agent-card,rep03,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/base/rep01/C1/manifest.json,evolutionary,base,rep01,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C2/manifest.json,evolutionary,base,rep01,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C3/manifest.json,evolutionary,base,rep01,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C4/manifest.json,evolutionary,base,rep01,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C5/manifest.json,evolutionary,base,rep01,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C6/manifest.json,evolutionary,base,rep01,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/base/rep02/C1/manifest.json,evolutionary,base,rep02,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep02/C2/manifest.json,evolutionary,base,rep02,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep02/C3/manifest.json,evolutionary,base,rep02,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep02/C4/manifest.json,evolutionary,base,rep02,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep02/C5/manifest.json,evolutionary,base,rep02,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep02/C6/manifest.json,evolutionary,base,rep02,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/base/rep03/C1/manifest.json,evolutionary,base,rep03,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep03/C2/manifest.json,evolutionary,base,rep03,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep03/C3/manifest.json,evolutionary,base,rep03,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep03/C4/manifest.json,evolutionary,base,rep03,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep03/C5/manifest.json,evolutionary,base,rep03,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep03/C6/manifest.json,evolutionary,base,rep03,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/contract-first/rep01/C1/manifest.json,evolutionary,contract-first,rep01,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep01/C2/manifest.json,evolutionary,contract-first,rep01,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep01/C3/manifest.json,evolutionary,contract-first,rep01,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep01/C4/manifest.json,evolutionary,contract-first,rep01,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep01/C5/manifest.json,evolutionary,contract-first,rep01,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep01/C6/manifest.json,evolutionary,contract-first,rep01,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/contract-first/rep02/C1/manifest.json,evolutionary,contract-first,rep02,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep02/C2/manifest.json,evolutionary,contract-first,rep02,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep02/C3/manifest.json,evolutionary,contract-first,rep02,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep02/C4/manifest.json,evolutionary,contract-first,rep02,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep02/C5/manifest.json,evolutionary,contract-first,rep02,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep02/C6/manifest.json,evolutionary,contract-first,rep02,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/contract-first/rep03/C1/manifest.json,evolutionary,contract-first,rep03,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep03/C2/manifest.json,evolutionary,contract-first,rep03,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep03/C3/manifest.json,evolutionary,contract-first,rep03,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep03/C4/manifest.json,evolutionary,contract-first,rep03,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep03/C5/manifest.json,evolutionary,contract-first,rep03,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-first/rep03/C6/manifest.json,evolutionary,contract-first,rep03,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/contract-flow/rep01/C1/manifest.json,evolutionary,contract-flow,rep01,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep01/C2/manifest.json,evolutionary,contract-flow,rep01,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep01/C3/manifest.json,evolutionary,contract-flow,rep01,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep01/C4/manifest.json,evolutionary,contract-flow,rep01,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep01/C5/manifest.json,evolutionary,contract-flow,rep01,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep01/C6/manifest.json,evolutionary,contract-flow,rep01,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/contract-flow/rep02/C1/manifest.json,evolutionary,contract-flow,rep02,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep02/C2/manifest.json,evolutionary,contract-flow,rep02,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep02/C3/manifest.json,evolutionary,contract-flow,rep02,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep02/C4/manifest.json,evolutionary,contract-flow,rep02,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep02/C5/manifest.json,evolutionary,contract-flow,rep02,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep02/C6/manifest.json,evolutionary,contract-flow,rep02,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/contract-flow/rep03/C1/manifest.json,evolutionary,contract-flow,rep03,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep03/C2/manifest.json,evolutionary,contract-flow,rep03,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep03/C3/manifest.json,evolutionary,contract-flow,rep03,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep03/C4/manifest.json,evolutionary,contract-flow,rep03,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep03/C5/manifest.json,evolutionary,contract-flow,rep03,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/contract-flow/rep03/C6/manifest.json,evolutionary,contract-flow,rep03,C6,3,0.15,1.0,0,0,True
benchmark/manifests/final-spec/agent-card/rep01/C6/manifest.json,final-spec,agent-card,rep01,C6,4,0.2,1.0,0,0,True
benchmark/manifests/final-spec/agent-card/rep02/C6/manifest.json,final-spec,agent-card,rep02,C6,4,0.2,1.0,0,0,True
benchmark/manifests/final-spec/agent-card/rep03/C6/manifest.json,final-spec,agent-card,rep03,C6,4,0.2,1.0,0,0,True
benchmark/manifests/final-spec/base/rep01/C6/manifest.json,final-spec,base,rep01,C6,5,0.25,1.0,0,0,True
benchmark/manifests/final-spec/base/rep02/C6/manifest.json,final-spec,base,rep02,C6,5,0.25,1.0,0,0,True
benchmark/manifests/final-spec/base/rep03/C6/manifest.json,final-spec,base,rep03,C6,5,0.25,1.0,0,0,True
benchmark/manifests/final-spec/contract-first/rep01/C6/manifest.json,final-spec,contract-first,rep01,C6,4,0.2,1.0,0,0,True
benchmark/manifests/final-spec/contract-first/rep02/C6/manifest.json,final-spec,contract-first,rep02,C6,4,0.2,1.0,0,0,True
benchmark/manifests/final-spec/contract-first/rep03/C6/manifest.json,final-spec,contract-first,rep03,C6,4,0.2,1.0,0,0,True
benchmark/manifests/final-spec/contract-flow/rep01/C6/manifest.json,final-spec,contract-flow,rep01,C6,5,0.25,1.0,0,0,True
benchmark/manifests/final-spec/contract-flow/rep02/C6/manifest.json,final-spec,contract-flow,rep02,C6,5,0.25,1.0,0,0,True
benchmark/manifests/final-spec/contract-flow/rep03/C6/manifest.json,final-spec,contract-flow,rep03,C6,5,0.25,1.0,0,0,True
